Seed,K,Gamma,GlobalFC
0,0.25,0.25,0.8224
0,0.25,0.5,0.6688
0,0.25,0.75,0.5551
0,0.25,1,0.4962
0,0.25,1.25,0.4812
0,0.25,1.5,0.4883
0,0.25,1.75,0.4806
0,0.5,0.25,0.897
0,0.5,0.5,0.7594
0,0.5,0.75,0.6631
0,0.5,1,0.597
0,0.5,1.25,0.5599
0,0.5,1.5,0.5436
0,0.5,1.75,0.536
0,0.75,0.25,0.9274
0,0.75,0.5,0.8071
0,0.75,0.75,0.7184
0,0.75,1,0.6553
0,0.75,1.25,0.6131
0,0.75,1.5,0.5872
0,0.75,1.75,0.5719
0,1,0.25,0.9448
0,1,0.5,0.8391
0,1,0.75,0.7551
0,1,1,0.6938
0,1,1.25,0.65
0,1,1.5,0.6197
0,1,1.75,0.5994
0,1.25,0.25,0.9556
0,1.25,0.5,0.8633
0,1.25,0.75,0.7832
0,1.25,1,0.723
0,1.25,1.25,0.6784
0,1.25,1.5,0.6459
0,1.25,1.75,0.6225
0,1.5,0.25,0.9626
0,1.5,0.5,0.8825
0,1.5,0.75,0.8063
0,1.5,1,0.7471
0,1.5,1.25,0.7021
0,1.5,1.5,0.6682
0,1.5,1.75,0.6427
0,1.75,0.25,0.9672
0,1.75,0.5,0.8981
0,1.75,0.75,0.8261
0,1.75,1,0.7679
0,1.75,1.25,0.7227
0,1.75,1.5,0.6878
0,1.75,1.75,0.6609
1,0.25,0.25,0.8138
1,0.25,0.5,0.6573
1,0.25,0.75,0.585
1,0.25,1,0.4962
1,0.25,1.25,0.4462
1,0.25,1.5,0.416
1,0.25,1.75,0.4167
1,0.5,0.25,0.8972
1,0.5,0.5,0.7539
1,0.5,0.75,0.6662
1,0.5,1,0.5973
1,0.5,1.25,0.5427
1,0.5,1.5,0.5066
1,0.5,1.75,0.4858
1,0.75,0.25,0.929
1,0.75,0.5,0.8048
1,0.75,0.75,0.7168
1,0.75,1,0.6535
1,0.75,1.25,0.604
1,0.75,1.5,0.5662
1,0.75,1.75,0.5387
1,1,0.25,0.9466
1,1,0.5,0.8384
1,1,0.75,0.7529
1,1,1,0.6908
1,1,1.25,0.6435
1,1,1.5,0.6065
1,1,1.75,0.5776
1,1.25,0.25,0.9571
1,1.25,0.5,0.8638
1,1.25,0.75,0.7816
1,1.25,1,0.7201
1,1.25,1.25,0.6734
1,1.25,1.5,0.6368
1,1.25,1.75,0.6076
1,1.5,0.25,0.9636
1,1.5,0.5,0.8838
1,1.5,0.75,0.8057
1,1.5,1,0.745
1,1.5,1.25,0.6983
1,1.5,1.5,0.6616
1,1.5,1.75,0.6323
1,1.75,0.25,0.9675
1,1.75,0.5,0.9
1,1.75,0.75,0.8264
1,1.75,1,0.7667
1,1.75,1.25,0.72
1,1.75,1.5,0.6831
1,1.75,1.75,0.6535
2,0.25,0.25,0.8405
2,0.25,0.5,0.6619
2,0.25,0.75,0.5499
2,0.25,1,0.5105
2,0.25,1.25,0.5122
2,0.25,1.5,0.5173
2,0.25,1.75,0.5093
2,0.5,0.25,0.9002
2,0.5,0.5,0.7621
2,0.5,0.75,0.658
2,0.5,1,0.5942
2,0.5,1.25,0.5627
2,0.5,1.5,0.5459
2,0.5,1.75,0.5349
2,0.75,0.25,0.9274
2,0.75,0.5,0.8081
2,0.75,0.75,0.7148
2,0.75,1,0.6485
2,0.75,1.25,0.6052
2,0.75,1.5,0.5779
2,0.75,1.75,0.5605
2,1,0.25,0.9442
2,1,0.5,0.8382
2,1,0.75,0.7516
2,1,1,0.6865
2,1,1.25,0.6397
2,1,1.5,0.6071
2,1,1.75,0.5849
2,1.25,0.25,0.9555
2,1.25,0.5,0.8612
2,1.25,0.75,0.7794
2,1.25,1,0.7159
2,1.25,1.25,0.6681
2,1.25,1.5,0.6328
2,1.25,1.75,0.6074
2,1.5,0.25,0.963
2,1.5,0.5,0.8799
2,1.5,0.75,0.8022
2,1.5,1,0.7404
2,1.5,1.25,0.6923
2,1.5,1.5,0.6556
2,1.5,1.75,0.6279
2,1.75,0.25,0.9681
2,1.75,0.5,0.8955
2,1.75,0.75,0.8217
2,1.75,1,0.7614
2,1.75,1.25,0.7136
2,1.75,1.5,0.676
2,1.75,1.75,0.6468
3,0.25,0.25,0.8185
3,0.25,0.5,0.6423
3,0.25,0.75,0.5528
3,0.25,1,0.5201
3,0.25,1.25,0.4776
3,0.25,1.5,0.4653
3,0.25,1.75,0.4536
3,0.5,0.25,0.8943
3,0.5,0.5,0.7495
3,0.5,0.75,0.6526
3,0.5,1,0.5918
3,0.5,1.25,0.5506
3,0.5,1.5,0.5241
3,0.5,1.75,0.5049
3,0.75,0.25,0.9265
3,0.75,0.5,0.8023
3,0.75,0.75,0.711
3,0.75,1,0.6475
3,0.75,1.25,0.6025
3,0.75,1.5,0.5702
3,0.75,1.75,0.5462
3,1,0.25,0.9444
3,1,0.5,0.8363
3,1,0.75,0.75
3,1,1,0.687
3,1,1.25,0.6407
3,1,1.5,0.6062
3,1,1.75,0.58
3,1.25,0.25,0.9551
3,1.25,0.5,0.8613
3,1.25,0.75,0.7794
3,1.25,1,0.7175
3,1.25,1.25,0.6707
3,1.25,1.5,0.6351
3,1.25,1.75,0.6076
3,1.5,0.25,0.9616
3,1.5,0.5,0.8808
3,1.5,0.75,0.8033
3,1.5,1,0.7425
3,1.5,1.25,0.6957
3,1.5,1.5,0.6594
3,1.5,1.75,0.6309
3,1.75,0.25,0.9656
3,1.75,0.5,0.8965
3,1.75,0.75,0.8234
3,1.75,1,0.7639
3,1.75,1.25,0.7172
3,1.75,1.5,0.6805
3,1.75,1.75,0.6513
4,0.25,0.25,0.794
4,0.25,0.5,0.6249
4,0.25,0.75,0.5304
4,0.25,1,0.4849
4,0.25,1.25,0.4577
4,0.25,1.5,0.4389
4,0.25,1.75,0.437
4,0.5,0.25,0.8879
4,0.5,0.5,0.7312
4,0.5,0.75,0.6324
4,0.5,1,0.57
4,0.5,1.25,0.5287
4,0.5,1.5,0.5023
4,0.5,1.75,0.4887
4,0.75,0.25,0.9249
4,0.75,0.5,0.7871
4,0.75,0.75,0.6905
4,0.75,1,0.6251
